school,lineitem,fte,budget
252,74,na,3000
252,76,1,147768
252,79,na,34100
252,80,0.5,47313
252,82,1,94626
252,90,2,189252
252,91,3,283878
252,92,3,283878
252,93,4,378504
252,94,2,189252
252,103,1,94626
252,105,2,189252
252,106,0.5,47313
252,107,3,283878
252,109,2,189252
252,115,1,94626
252,126,0.5,47313
254,1,na,0
254,2,1,46722
254,3,1,74398
254,9,9,276129
254,13,2,61362
254,24,1,118667
254,29,1,36519
254,44,2,114888
254,45,na,15000
254,46,na,20000
254,47,2,71430
254,48,1,44876
254,54,na,36250
254,55,na,10000
254,58,na,10000
254,59,na,5000
254,63,na,200
254,64,2,189252
254,67,1,94626
254,68,na,10000
254,74,na,5000
254,76,1,147768
254,78,na,7500
254,79,na,67200
254,80,0.8,75700.8
254,82,1,94626
254,90,5,473130
254,91,5,473130
254,92,4,378504
254,93,4,378504
254,94,4,378504
254,96,1,94626
254,105,2,189252
254,106,1,94626
254,107,6,567756
254,109,5,473130
254,112,1,94626
254,115,4.5,425817
254,118,1,94626
254,119,6,567756
254,123,2,189252
254,131,1,94626
254,134,na,10000
257,1,na,10000
257,2,1,46722
257,5,na,50535.47
257,9,6,184086
257,24,1,118667
257,28,1,62752
257,31,na,122500
257,44,1,57444
257,45,na,4000
257,46,na,8000
257,48,2,89752
257,54,na,17000
257,55,na,28000
257,58,na,7000
257,63,na,200
257,64,1,94626
257,67,0.5,47313
257,70,na,6000
257,71,na,100000
257,74,na,3000
257,76,1,147768
257,79,na,31800
257,80,1,94626
257,82,1,94626
257,90,2,189252
257,91,2,189252
257,92,2,189252
257,93,1,94626
257,94,2,189252
257,96,1,94626
257,106,1,94626
257,107,3,283878
257,109,2,189252
257,112,1,94626
257,115,2,189252
257,116,2,189252
257,130,1.5,141939
257,131,0.5,47313
257,134,na,4672
258,1,na,7000
258,2,1,46722
258,7,4,122724
258,9,4,122724
258,10,2,61362
258,13,2,61362
258,29,1,36519
258,31,na,20324
258,34,1,46031
258,44,1,57444
258,45,na,4000
258,46,na,7000
258,47,2,71430
258,48,1,44876
258,54,na,5000
258,55,na,14900
258,60,1,94626
258,67,1,94626
258,68,na,2106
258,74,na,5000
258,76,1,147768
258,79,na,29300
258,80,0.5,47313
258,90,2,189252
258,91,2,189252
258,92,2,189252
258,93,2,189252
258,94,2,189252
258,96,1,94626
258,100,2,189252
258,102,1,94626
258,105,1,94626
258,106,1,94626
258,107,2,189252
258,109,2,189252
258,112,1,94626
258,115,2,189252
258,118,1.5,141939
258,134,na,11271
258,137,1,36042
259,1,na,10900
259,2,1,46722
259,3,1,74398
259,5,na,64441.32
259,9,6,184086
259,16,1,36703
259,24,1,118667
259,31,na,118934
259,34,1,46031
259,40,1,90918
259,44,1,57444
259,45,na,10000
259,46,na,9000
259,47,1,35715
259,48,2,89752
259,54,na,10022
259,55,na,105300
259,58,na,2500
259,63,na,300
259,64,1,94626
259,68,na,1000
259,70,na,3000
259,71,na,100000
259,74,na,3000
259,76,1,147768
259,79,na,34500
259,80,0.5,47313
259,82,1,94626
259,90,2,189252
259,91,2,189252
259,92,2,189252
259,93,2,189252
259,94,2,189252
259,96,0.5,47313
259,106,1,94626
259,107,3,283878
259,109,2,189252
259,112,1,94626
259,115,2,189252
259,116,2,189252
259,119,1,94626
259,131,0.5,47313
259,134,na,5000
261,1,na,25000
261,2,2,93444
261,9,9,276129
261,14,1,30681
261,24,2,237334
261,28,1,62752
261,44,1,57444
261,45,na,25000
261,46,na,70863
261,47,4,142860
261,48,1,44876
261,52,na,15000
261,53,na,15000
261,54,na,79615.5
261,55,na,50000
261,57,na,5000
261,58,na,20000
261,59,na,10000
261,60,2,189252
261,67,1,94626
261,70,na,5000
261,74,na,26000
261,76,1,147768
261,78,na,17225
261,79,na,70000
261,80,0.75,70969.5
261,90,5,473130
261,91,5,473130
261,92,5,473130
261,93,5,473130
261,94,4,378504
261,96,2,189252
261,101,1,94626
261,105,1,94626
261,106,2,189252
261,107,4,378504
261,109,5,473130
261,110,2,189252
261,112,1,94626
261,115,4,378504
261,118,1.5,141939
261,125,1,94626
261,133,na,2000
261,134,na,20000
262,1,na,7000
262,3,1,74398
262,4,na,1000
262,5,na,95413.45
262,9,7,214767
262,10,2,61362
262,16,1,36703
262,24,1,118667
262,29,1,36519
262,31,na,10673
262,33,1,43567
262,40,0.5,45459
262,44,1,57444
262,45,na,3000
262,46,na,15000
262,47,2,71430
262,48,1,44876
262,49,1,89373
262,54,na,13000
262,55,na,9776
262,57,na,1000
262,59,na,13126
262,60,1,94626
262,63,na,1500
262,64,1,94626
262,67,1,94626
262,71,na,100000
262,72,na,5000
262,73,na,28000
262,74,na,3000
262,76,1,147768
262,78,na,5000
262,79,na,33800
262,80,0.5,47313
262,82,1.5,141939
262,90,2,189252
262,91,2,189252
262,92,2,189252
262,93,1,94626
262,94,1,94626
262,96,1,94626
262,102,1,94626
262,104,1,94626
262,105,1,94626
262,106,1,94626
262,107,4,378504
262,109,2,189252
262,110,1,94626
262,112,0.5,47313
262,115,1,94626
262,116,1,94626
262,117,2,189252
262,118,1,94626
262,123,1,94626
262,125,1,94626
262,128,1,94626
262,131,1,94626
262,133,na,500
264,1,na,20000
264,2,3,140166
264,4,na,1000
264,5,na,50535.47
264,6,2,61362
264,9,5,153405
264,13,2,61362
264,15,1,30681
264,24,1,118667
264,26,1,118667
264,27,2,78018
264,30,na,2000
264,31,na,20000
264,40,1,90918
264,44,1,57444
264,45,na,10000
264,46,na,15105
264,47,1,35715
264,48,2,89752
264,53,na,15000
264,54,na,5000
264,59,na,14818
264,60,1,94626
264,64,1,94626
264,67,1,94626
264,71,na,100000
264,72,na,5000
264,73,na,28000
264,74,na,2182
264,76,1,147768
264,77,na,1000
264,78,na,9082
264,79,na,35700
264,80,0.5,47313
264,82,3,283878
264,84,1,94626
264,90,2,189252
264,91,2,189252
264,92,2,189252
264,93,2,189252
264,94,2,189252
264,95,1,94626
264,96,1,94626
264,97,2,189252
264,101,1,94626
264,105,4,378504
264,106,1,94626
264,107,4.5,425817
264,108,1,94626
264,109,2,189252
264,110,1,94626
264,112,1,94626
264,115,1,94626
264,116,1,94626
264,117,1,94626
264,118,1,94626
264,123,1,94626
264,128,1,94626
264,131,0.5,47313
265,1,na,5000
265,2,1,46722
265,5,na,45286.01
265,16,1,36703
265,20,10,306810
265,27,1,39009
265,28,0.5,31376
265,40,1,90918
265,44,1,57444
265,45,na,3000
265,46,na,15000
265,48,2,89752
265,52,na,3000
265,53,na,10000
265,54,na,10000
265,55,na,10000
265,58,na,10000
265,59,na,10899
265,63,na,5000
265,64,1,94626
265,67,0.5,47313
265,68,na,2096
265,69,1,33000
265,74,na,10000
265,76,1,147768
265,78,na,12414
265,79,na,10000
265,80,0.5,47313
265,82,0.5,47313
265,96,0.5,47313
265,106,1,94626
265,112,0.5,47313
265,127,10,946260
265,135,na,5000
266,1,na,4992
266,5,na,78347.18
266,9,9,276129
266,29,2,73038
266,31,na,150000
266,33,2,87134
266,34,1,46031
266,44,1,57444
266,45,na,5000
266,46,na,10000
266,47,1,35715
266,48,2,89752
266,51,1,98825
266,53,na,12000
266,54,na,15894
266,55,na,46000
266,63,na,1000
266,64,2,189252
266,66,na,4731.3
266,67,1,94626
266,70,na,4000
266,74,na,2007
266,76,1,147768
266,79,na,40200
266,80,1,94626
266,82,0.5,47313
266,90,3,283878
266,91,3,283878
266,92,3,283878
266,93,2,189252
266,94,1,94626
266,97,1,94626
266,106,1,94626
266,107,3,283878
266,109,3,283878
266,112,1,94626
266,115,3,283878
266,116,3,283878
266,131,0.5,47313
271,1,na,2000
271,2,1,46722
271,5,na,120064.74
271,7,4,122724
271,9,8,245448
271,10,2,61362
271,13,1,30681
271,15,2,61362
271,28,1,62752
271,29,1,36519
271,31,na,20000
271,32,1,90918
271,33,1,43567
271,44,1,57444
271,45,na,3000
271,46,na,10000
271,47,1,35715
271,48,1,44876
271,52,na,3000
271,53,na,3000
271,54,na,14555
271,55,na,6000
271,58,na,3000
271,63,na,500
271,64,1,94626
271,66,na,21763.98
271,67,1,94626
271,68,na,1000
271,70,na,4000
271,74,na,8000
271,76,1,147768
271,79,na,33600
271,80,0.5,47313
271,82,1,94626
271,90,2,189252
271,91,2,189252
271,92,2,189252
271,93,1,94626
271,94,1,94626
271,96,1,94626
271,100,2,189252
271,102,1,94626
271,106,1,94626
271,107,2,189252
271,108,2,189252
271,109,2,189252
271,110,1,94626
271,112,1,94626
271,115,3,283878
271,116,3,283878
271,118,1,94626
271,131,1,94626
271,132,0.5,47313
271,134,na,5000
272,1,na,0
272,2,1,46722
272,9,5,153405
272,24,1,118667
272,26,1,118667
272,28,1,62752
272,44,1,57444
272,45,na,3000
272,46,na,2500
272,48,2,89752
272,54,na,0
272,55,na,1000
272,67,1,94626
272,74,na,2500
272,76,1,147768
272,78,na,3886
272,79,na,39100
272,80,0.5,47313
272,82,0.5,47313
272,90,3,283878
272,91,4,378504
272,92,3,283878
272,93,3,283878
272,94,2,189252
272,105,1,94626
272,106,1,94626
272,107,2,189252
272,109,3,283878
272,115,2,189252
272,118,0.5,47313
272,119,1,94626
272,123,1,94626
272,125,1,94626
273,1,na,1000
273,9,5,153405
273,28,1,62752
273,29,0.5,18259.5
273,31,na,10000
273,44,1,57444
273,45,na,4000
273,46,na,5000
273,47,1,35715
273,48,1,44876
273,54,na,10000
273,63,na,222
273,64,1,94626
273,67,1,94626
273,68,na,2000
273,74,na,4900
273,76,1,147768
273,78,na,3000
273,79,na,30100
273,80,0.2,18925.2
273,82,1,94626
273,90,3,283878
273,91,2,189252
273,92,2,189252
273,93,2,189252
273,94,1,94626
273,96,1,94626
273,105,1.5,141939
273,106,1,94626
273,107,1,94626
273,109,3,283878
273,112,1,94626
273,115,2,189252
273,118,1,94626
273,119,1,94626
273,125,1,94626
274,1,na,0
274,2,1,46722
274,5,na,10000
274,9,7,214767
274,24,1,118667
274,28,0.5,31376
274,44,1,57444
274,45,na,5000
274,46,na,8000
274,48,2,89752
274,54,na,24391
274,55,na,30600
274,63,na,500
274,64,1,94626
274,66,na,8516.34
274,67,1,94626
274,76,1,147768
274,78,na,18000
274,79,na,36200
274,80,0.5,47313
274,82,1,94626
274,90,2,189252
274,91,2,189252
274,92,2,189252
274,93,2,189252
274,94,2,189252
274,96,1,94626
274,106,1,94626
274,107,2,189252
274,109,2,189252
274,112,1,94626
274,115,2,189252
274,116,2,189252
274,117,1,94626
274,118,1,94626
274,119,0.5,47313
274,123,1,94626
274,134,na,5000
280,1,na,5000
280,2,1,46722
280,5,na,78347.18
280,9,9,276129
280,11,2,61362
280,13,2,61362
280,14,1,30681
280,24,1,118667
280,29,2,73038
280,31,na,30000
280,33,1,43567
280,37,1,43567
280,40,1,90918
280,44,1,57444
280,45,na,1000
280,46,na,29000
280,47,2,71430
280,48,2,89752
280,49,1,89373
280,54,na,31000
280,55,na,35262
280,63,na,500
280,64,1,94626
280,66,na,21763.98
280,67,1,94626
280,68,na,5000
280,74,na,5000
280,76,1,147768
280,78,na,10000
280,79,na,40800
280,80,1,94626
280,82,2,189252
280,90,3,283878
