SCHOOLCODE,SCHOOLNAME,LON,LAT,LEVELTEXT,LEVEL,CLUSTER,WARD,FORTYFORTY,YEAR,ATRISKPCT,,ATRISKENROLLMENT,ECEENROLLMENT,ELLENROLLMENT,SPEDENROLLMENT,TOTALENROLLMENT,AMT_ENROLLMENT,AMT_SPED,AMT_ELL,AMT_ASPECR,AMT_TITLE,AMT_SPECIALTY,AMT_PPFM,AMT_STABILIZATION,AMT_SECURITY,AMT_ATRISK_ENROLLMENT,AMT_ATRISK_SPED,AMT_ATRISK_ELL,AMT_ATRISK_SPECIALTY,AMT_ATRISK_ASPECR,AMT_ATRISK_STABILIZATION,AMT_ATRISK_FLEX,AMT_ATRISK,AMT_TOTAL
322,Smothers ES,-76.93846864,38.8935537,Elementary,es,5,7,TRUE,2015,0.71,0.71,216,73,3,44,304,2835854.253,581806.5275,0,50149.29075,125703.8612,0,0,0,0,130400,0,0,0,0,0,0,130400,3723913.932
427,Sousa MS,-76.95315885,38.88389408,Middle,ms,7,7,FALSE,2015,0.71,0.71,203,0,0,59,286,2349331.421,732049.7775,0,0,127871.1691,0,0,0,0,464519,39009,0,0,0,0,0,503528,3712780.367
319,Stanton ES,-76.96849023,38.85927177,Elementary,es,2,8,TRUE,2015,0.83,0.83,504,90,1,80,607,4718583.625,757009,4731.30625,63926.876,253575.0303,0,0,0,0,160700,0,0,0,0,0,0,160700,5958525.838
321,Stoddert ES,-77.0790738,38.92304431,Elementary,es,5,3,FALSE,2015,0.04,0.04,16,40,73,23,429,3624639.917,331191.4375,331191.4375,0,9525,0,0,0,0,42900,0,0,0,0,0,0,42900,4339447.792
428,Stuart-Hobson MS,-77.00000438,38.89629737,Middle,ms,7,6,FALSE,2015,0.3,0.3,129,0,3,52,424,2527749.867,551125.1075,13247.6575,0,99546.36794,0,0,0,0,1235327,0,0,0,0,0,0,1235327,4426996
324,Takoma EC,-77.02279493,38.97504254,Education Campus,campus,6,4,FALSE,2015,0.47,0.47,213,73,115,81,458,3903474.352,1300388.513,567756.75,77704.46125,191590.0229,0,0,0,0,287739,0,0,0,0,0,0,287739,6328653.098
325,Thomas ES,-76.95211091,38.90127864,Elementary,es,1,7,TRUE,2015,0.74,0.74,324,84,1,82,435,3651826.915,762551.7425,4731.30625,63926.876,179453.0984,0,0,0,0,143500,164496,0,0,0,0,0,307996,4970485.939
326,Thomson ES,-77.02843003,38.903496,Elementary,es,1,2,FALSE,2015,0.42,0.42,116,67,189,44,280,2677141.842,378504.5,757009,77704.46125,125270.3996,0,0,0,0,28000,0,0,0,0,0,0,28000,4043630.203
327,Truesdell EC,-77.02507158,38.95396836,Education Campus,campus,6,4,FALSE,2015,0.53,0.53,257,82,256,84,484,4276621.315,851635.125,1213507.983,50149.29075,208061.5633,0,0,0,0,365652,0,0,0,0,0,0,365652,6965627.277
328,Tubman ES,-77.0294433,38.92919824,Elementary,es,4,1,FALSE,2015,0.63,0.63,332,69,179,71,527,4462615.052,896366.4475,898948.1875,77704.46125,220631.9494,0,0,0,0,52700,94626,0,0,0,0,0,147326,6703592.097
